code,name
12018,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; Over 30.0 cm"
12020,Treatment of Superficial Wound Dehiscence; Simple Closure
12021,Treatment of Superficial Wound Dehiscence; w/ Packing
12031,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); 2.5 cm or Less"
12032,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
12034,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
12035,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
12036,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); 20.1 cm to 30.0 cm"
12037,"Repair, Intermediate, Wounds of Scalp, Axillae, Trunk and/or Extremities (excluding hands and feet); Over 30.0 cm"
12041,Wound Closure <2.5cm
12042,"Repair, Intermediate, Wounds of Neck, Hands, Feet and/or External Genitalia; 2.6 cm to 7.5 cm"
12044,"Repair, Intermediate, Wounds of Neck, Hands, Feet and/or External Genitalia; 7.6 cm to 12.5 cm"
12045,"Repair, Intermediate, Wounds of Neck, Hands, Feet and/or External Genitalia; 12.6 cm to 20.0 cm"
12046,"Repair, Intermediate, Wounds of Neck, Hands, Feet and/or External Genitalia; 20.1 cm to 30.0 cm"
12047,"Repair, Intermediate, Wounds of Neck, Hands, Feet and/or External Genitalia; Over 30.0 cm"
12051,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 2.5 cm or Less"
12052,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 2.6 cm to 5.0 cm"
12053,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 5.1 cm to 7.5 cm"
12054,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 7.6 cm to 12.5 cm"
12055,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 12.6 cm to 20.0 cm"
12056,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 20.1 cm to 30.0 cm"
12057,"Repair, Intermediate, Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; Over 30.0 cm"
13100,"Repair, Complex, Trunk; 1.1 cm to 2.5 cm"
13101,"Repair, Complex, Trunk; 2.6 cm to 7.5 cm"
13102,"Repair, Complex, Trunk; Each Addtl 5 cm or Less"
13120,"Repair, Complex, Scalp, Arms, and/or Legs; 1.1 cm to 2.5 cm"
13121,"Repair, Complex, Scalp, Arms, and/or Legs; 2.6 cm to 7.5 cm"
13122,"Repair, Complex, Scalp, Arms, and/or Legs; Each Addtl 5 cm or Less"
13131,"Repair, Complex, Forehead, Cheeks, Chin, Mouth, Neck, Axillae, Genitalia, Hands and/or Feet; 1.1 cm to 2.5 cm"
13132,"Repair, Complex, Forehead, Cheeks, Chin, Mouth, Neck, Axillae, Genitalia, Hands and/or Feet; 2.6 cm to 7.5 cm"
13133,"Repair, Complex, Forehead, Cheeks, Chin, Mouth, Neck, Axillae, Genitalia, Hands and/or Feet; Each Addtl 5 cm or Less"
13151,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm"
13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm"
13153,"Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)"
13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated"
14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less"
14001,"Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm"
14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"
14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm"
14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less"
14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm"
14060,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less"
14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm"
14301,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm"
14302,"Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"
14350,"Filleted finger or toe flap, including preparation of recipient site"
15002,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children"
15003,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)"
15004,Prep Site F/S/N/H/F/G/M/D gt 1st 100 sq cm/1pct
15005,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)"
15040,"Harvest of skin for tissue cultured skin autograft, 100 sq cm or less"
15050,"Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter"
15100,"Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
15101,"Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15110,"Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15111,"Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15115,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15116,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15120,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
15121,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15130,"Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15131,"Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15136,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less"
15151,"Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)"
15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15155,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 25 sq cm or less"
15156,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)"
15157,"Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less"
15201,"Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less"
15221,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less"
15241,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
15260,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less"
15261,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
15271,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
15272,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
15273,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15275,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
15276,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
15277,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
15278,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15570,"Formation of direct or tubed pedicle, with or without transfer; trunk"
15572,"Formation of direct or tubed pedicle, with or without transfer; scalp, arms, or legs"
15574,"Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet"
15576,"Formation of direct or tubed pedicle, with or without transfer; eyelids, nose, ears, lips, or intraoral"
15600,Delay of flap or sectioning of flap (division and inset); at trunk
15610,"Delay of flap or sectioning of flap (division and inset); at scalp, arms, or legs"
15620,"Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet"
15630,"Delay of flap or sectioning of flap (division and inset); at eyelids, nose, ears, or lips"
15650,"Transfer, intermediate, of any pedicle flap (eg, abdomen to wrist, Walking tube), any location"
15731,"Forehead flap with preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead flap)"
15732,"Muscle, myocutaneous, or fasciocutaneous flap; head and neck (eg, temporalis, masseter muscle, sternocleidomastoid, levator scapulae)"
15734,"Muscle, myocutaneous, or fasciocutaneous flap; trunk"
15736,"Muscle, myocutaneous, or fasciocutaneous flap; upper extremity"
15738,"Muscle, myocutaneous, or fasciocutaneous flap; lower extremity"
15740,Flap; island pedicle requiring identification and dissection of an anatomically named axial vessel
15750,Flap; neurovascular pedicle
15756,Free muscle or myocutaneous flap with microvascular anastomosis
15757,Free skin flap with microvascular anastomosis
15758,Free fascial flap with microvascular anastomosis
15760,"Graft; composite (eg, full thickness of external ear or nasal ala), including primary closure, donor area"
15770,Graft; derma-fat-fascia
15775,Punch graft for hair transplant; 1 to 15 punch grafts
15776,Punch graft for hair transplant; more than 15 punch grafts
15777,"Implantation of biologic implant (eg, acellular dermal matrix) for soft tissue reinforcement (ie, breast, trunk) (List separately in addition to code for primary procedure)"
15780,"Dermabrasion; total face (eg, for acne scarring, fine wrinkling, rhytids, general keratosis)"
15781,"Dermabrasion; segmental, face"
15782,"Dermabrasion; regional, other than face"
15783,"Dermabrasion; superficial, any site (eg, tattoo removal)"
15786,"Abrasion; Single Lesion (eg, keratosis, scar)"
15787,Abrasion; Each Addtl 4 Lesions or Less
15788,"Chemical Peel, Facial; Epidermal"
15789,"Chemical Peel, Facial; Dermal"
15792,"Chemical Peel, Nonfacial; Epidermal"
15793,"Chemical Peel, Nonfacial; Dermal"
15819,Cervicoplasty
15820,"Blepharoplasty, Lower Eyelid"
15821,"Blepharoplasty, lower eyelid; with extensive herniated fat pad"
15822,"Blepharoplasty, upper eyelid;"
15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid"
15824,Rhytidectomy; forehead
15825,"Rhytidectomy; neck with platysmal tightening (platysmal flap, P-flap)"
15826,Rhytidectomy; glabellar frown lines
15828,"Rhytidectomy; cheek, chin, and neck"
15829,Rhytidectomy; superficial musculoaponeurotic system (SMAS) flap
15830,Excision Skin & Infraumbilical Panniculectomy
15832,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); thigh"
15833,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); leg"
15834,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); hip"
15835,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); buttock"
15836,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); arm"
15837,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); forearm or hand"
15838,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); submental fat pad"
15839,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); other area"
15840,Graft for facial nerve paralysis; free fascia graft (including obtaining fascia)
15841,Graft for facial nerve paralysis; free muscle graft (including obtaining graft)
15842,Graft for facial nerve paralysis; free muscle flap by microsurgical technique
15845,Graft for facial nerve paralysis; regional muscle transfer
15847,"Excision, excessive skin and subcutaneous tissue (includes lipectomy), abdomen (eg, abdominoplasty) (includes umbilical transposition and fascial plication) (List separately in addition to code for primary procedure)"
15850,Removal Sutures Under Anesthesia Same Surgeon
15851,"Removal of Sutures Under Anesthesia (other than local), Other Surgeon"
15852,Dressing Change Under Anesthesia
15860,"Intravenous Injection of Agent (eg, fluorescein) to Test Vascular Flow in Flap or Graft"
15876,Suction Assisted Lipectomy; Head and Neck
15877,Suction Assisted Lipectomy; Trunk
15878,Suction Assisted Lipectomy; Uupper Extremity
15879,Suction Assisted Lipectomy; Lower Extremity
15920,"Excision, Coccygeal Pressure Ulcer, w/Coccygectomy; w/Primary Suture"
